,0
0,https://www.xcontest.org/canada/en/flights/detail:jonathangodin/21.06.2020/21:39
1,https://www.xcontest.org/canada/en/flights/detail:skyward/21.06.2020/19:52
2,https://www.xcontest.org/canada/en/flights/detail:Charognard/21.06.2020/15:51
3,https://www.xcontest.org/canada/en/flights/detail:JLibanet/21.06.2020/20:33
4,https://www.xcontest.org/canada/en/flights/detail:vickshorses/21.06.2020/19:52
5,https://www.xcontest.org/canada/en/flights/detail:FlyPhil/21.06.2020/17:29
6,https://www.xcontest.org/canada/en/flights/detail:JLibanet/21.06.2020/17:52
7,https://www.xcontest.org/canada/en/flights/detail:franky/20.06.2020/16:07
8,https://www.xcontest.org/canada/en/flights/detail:Charognard/20.06.2020/19:54
9,https://www.xcontest.org/canada/en/flights/detail:MarkBaluk/20.06.2020/17:58
10,https://www.xcontest.org/canada/en/flights/detail:MarkBaluk/20.06.2020/16:38
11,https://www.xcontest.org/canada/en/flights/detail:sboost/20.06.2020/17:59
12,https://www.xcontest.org/canada/en/flights/detail:Kawlz/20.06.2020/16:14
13,https://www.xcontest.org/canada/en/flights/detail:skyward/20.06.2020/22:35
14,https://www.xcontest.org/canada/en/flights/detail:vickshorses/20.06.2020/22:15
15,https://www.xcontest.org/canada/en/flights/detail:skyward/20.06.2020/21:54
16,https://www.xcontest.org/canada/en/flights/detail:Kabouka/20.06.2020/16:13
17,https://www.xcontest.org/canada/en/flights/detail:JCCPPDP/20.06.2020/16:28
18,https://www.xcontest.org/canada/en/flights/detail:skyward/24.05.2020/21:23
19,https://www.xcontest.org/canada/en/flights/detail:dvallieres/18.06.2020/23:55
20,https://www.xcontest.org/canada/en/flights/detail:YoungJedi/18.06.2020/18:13
21,https://www.xcontest.org/canada/en/flights/detail:janssen/19.06.2020/20:16
22,https://www.xcontest.org/canada/en/flights/detail:tomfurst/18.06.2020/21:36
23,https://www.xcontest.org/canada/en/flights/detail:FlyPhil/19.06.2020/16:05
24,https://www.xcontest.org/canada/en/flights/detail:Marcandre500/19.06.2020/16:05
25,https://www.xcontest.org/canada/en/flights/detail:GPenninga/18.06.2020/18:12
26,https://www.xcontest.org/canada/en/flights/detail:MarkBaluk/18.06.2020/17:22
27,https://www.xcontest.org/canada/en/flights/detail:briandu/18.06.2020/19:20
28,https://www.xcontest.org/canada/en/flights/detail:Skyfoxx/19.06.2020/01:06
29,https://www.xcontest.org/canada/en/flights/detail:CrazyRick/18.06.2020/20:11
30,https://www.xcontest.org/canada/en/flights/detail:FunWithNylon/18.06.2020/20:26
31,https://www.xcontest.org/canada/en/flights/detail:Skyfoxx/18.06.2020/20:34
32,https://www.xcontest.org/canada/en/flights/detail:janssen/18.06.2020/20:44
33,https://www.xcontest.org/canada/en/flights/detail:janssen/18.06.2020/20:13
34,https://www.xcontest.org/canada/en/flights/detail:janssen/18.06.2020/17:56
35,https://www.xcontest.org/canada/en/flights/detail:janssen/18.06.2020/17:35
36,https://www.xcontest.org/canada/en/flights/detail:FlyPhil/17.06.2020/16:14
37,https://www.xcontest.org/canada/en/flights/detail:Skyfoxx/17.06.2020/21:38
38,https://www.xcontest.org/canada/en/flights/detail:vickshorses/17.06.2020/20:39
39,https://www.xcontest.org/canada/en/flights/detail:vickshorses/17.06.2020/18:58
40,https://www.xcontest.org/canada/en/flights/detail:Skyfoxx/17.06.2020/18:12
41,https://www.xcontest.org/canada/en/flights/detail:Marcandre500/17.06.2020/16:14
42,https://www.xcontest.org/canada/en/flights/detail:cricrilapin/16.06.2020/15:23
43,https://www.xcontest.org/canada/en/flights/detail:cricrilapin/15.06.2020/15:21
44,https://www.xcontest.org/canada/en/flights/detail:BBLACK/16.06.2020/21:33
45,https://www.xcontest.org/canada/en/flights/detail:FlyPhil/16.06.2020/15:45
46,https://www.xcontest.org/canada/en/flights/detail:FlyPhil/16.06.2020/15:25
47,https://www.xcontest.org/canada/en/flights/detail:sboost/13.06.2020/17:32
48,https://www.xcontest.org/canada/en/flights/detail:sboost/16.06.2020/19:03
49,https://www.xcontest.org/canada/en/flights/detail:Charognard/17.06.2020/00:53
50,https://www.xcontest.org/canada/en/flights/detail:Charognard/17.06.2020/00:50
51,https://www.xcontest.org/canada/en/flights/detail:Charognard/17.06.2020/00:26
52,https://www.xcontest.org/canada/en/flights/detail:Charognard/16.06.2020/22:45
53,https://www.xcontest.org/canada/en/flights/detail:Charognard/16.06.2020/21:29
54,https://www.xcontest.org/canada/en/flights/detail:MarkBaluk/16.06.2020/17:51
55,https://www.xcontest.org/canada/en/flights/detail:nfn8y1/28.05.2020/19:33
56,https://www.xcontest.org/canada/en/flights/detail:nfn8y1/2.06.2020/19:19
57,https://www.xcontest.org/canada/en/flights/detail:Jimscoles/16.06.2020/17:34
58,https://www.xcontest.org/canada/en/flights/detail:rvandenbegine/16.06.2020/16:55
59,https://www.xcontest.org/canada/en/flights/detail:AndreCote/15.06.2020/21:23
60,https://www.xcontest.org/canada/en/flights/detail:franky/15.06.2020/17:53
61,https://www.xcontest.org/canada/en/flights/detail:bastiendufour/15.06.2020/16:11
62,https://www.xcontest.org/canada/en/flights/detail:MarkBaluk/15.06.2020/19:35
63,https://www.xcontest.org/canada/en/flights/detail:Kawlz/15.06.2020/15:37
